d15_15fs_101_104	d15_30fs_104_107	d15_45fs_107_110	d15_60fs_110_113	d15_75fs_113_116
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
-0,24035645	-179,61792	-155,90991	-61,668823	85,100708
-186,19067	-117,94995	-65,977173	-144,49768	85,305176
-141,29993	-196,50171	-119,14905	26,016846	90,412598
143,18994	-30,990112	55,676025	-17,949463	62,160278
-3,5518799	-49,490601	-20,6427	22,567505	-27,341919
1,2401123	-160,42126	-65,663696	-179,52936	-261,98407
121,5799	-32,692993	102,68457	12,434387	-105,33197
50,380859	-73,588684	16,473328	54,964539	62,645386
-67,031799	58,710632	-11,827026	49,153931	10,694641
40,795837	11,796265	-187,11859	70,396118	80,469299
-134,86688	28,808594	3,6672363	25,475159	-22,291138
-22,088257	-4,2478638	14,077576	-50,015564	-55,156006
-88,361938	-40,061035	-1,7296143	119,91315	-27,089233
25,16394	97,22876	-33,172058	17,384888	-66,06665
59,064636	125,10211	-38,437988	-61,141663	0,53735352
-21,945496	51,354004	95,459045	97,15387	-99,846191
94,898315	128,04077	126,35986	-42,233582	-84,997192
-44,379944	-8,8327026	71,171326	-95,598083	-52,830811
-73,993591	23,913269	-32,279663	-67,252869	-79,483582
-68,402771	-11,705078	90,194641	119,12091	-36,160461
81,477844	-75,354248	-13,439026	-18,513489	13,858337
59,763672	36,990173	40,395935	-35,999939	-47,085999
-36,899536	-69,265503	3,5787964	74,645203	36,322266
-142,14264	-66,636169	-147,61279	-36,142822	2,3526611
21,804199	100,86029	-69,46875	15,227905	-61,80072
-85,292847	-62,959656	107,11548	81,194702	54,438904
22,75116	2,2078857	-28,3078	-146,56238	-0,79620361
-14,602295	-65,496338	81,650452	-60,081421	77,036316
-122,71698	26,440491	55,243225	58,513	-2,2960815
-67,84436	-156,48553	-84,291992	-145,79773	-49,360291
44,315186	42,010193	-61,827026	-21,697693	47,579651
-126,01703	-75,742554	13,409363	24,030579	-23,452148
-72,698669	-50,874695	-66,829285	45,601074	-25,104797
-51,088501	-59,046692	-52,954956	43,361328	73,466736
-29,637573	-43,692871	-37,46521	-109,04932	-20,291626
-20,175659	75,729797	-5,6549072	138,29462	-30,475159
-68,317444	-83,888245	-23,989441	16,039856	-54,028931
-32,263428	-77,008789	-14,558289	-144,73639	41,758423
4,2633057	49,23761	-61,286987	-81,363342	-5,6962891
30,456116	-81,966858	-22,4104	84,214966	77,399475
6,3530884	-10,24231	-24,512939	-64,941711	20,2453
92,653748	-64,97467	129,16418	82,015625	120,52277
-30,335205	6,3577271	138,388	-65,598511	0,25543213
-9,1826782	-27,450256	-5,2833862	109,29376	10,021729
35,612244	-158,67157	-26,890442	-156,91956	-121,19617
-62,465637	-106,74939	92,75592	-23,063477	-111,39441
68,985291	101,79016	-36,424622	-83,174683	-2,2583618
-34,323242	70,931885	-24,725098	-43,936279	-18,17804
-21,739624	6,5004883	140,45361	104,01855	23,823608
66,505737	26,797058	68,972168	-60,125	-100,45068
6,2655029	33,730835	55,650146	-59,341553	23,62793
34,829956	31,262085	-21,444946	48,762817	-58,573975
72,030518	-147,14233	-65,306274	-93,992676	66,063721
-45,531738	27,114624	66,267822	50,035645	-84,196533
138,77454	42,031616	-72,60498	-140,62134	39,685425
-38,242554	27,78418	-68,160767	-61,609741	147,49524
-73,196289	4,5915527	-52,062378	-103,39038	-75,846313
82,322632	351,71497	64,59021	20,498535	-72,707275
-232,90881	42,062744	17,226685	53,509644	33,988892
69,831177	97,225342	-59,330322	-109,22009	89,259399
-55,645264	44,845337	19,142944	141,88696	185,84131
44,585815	40,147095	-74,90625	-34,229614	59,769897
105,99353	97,902344	-11,01355	102,13123	-49,010254
75,980713	-147,01904	-186,91248	-91,664917	-78,881592
-41,2052	-147,61572	100,3761	-40,300049	17,164795
98,670166	180,17578	49,268311	-20,777222	-0,69812012
35,27478	-79,062622	-176,39148	-114,84924	-24,043091
-90,741211	3,1943359	-125,02026	-143,51819	-99,546143
111,34326	65,692505	-25,83728	-84,673462	-212,10193
76,366211	-63,35498	-29,506226	-0,78381348	-162,71008
-53,497681	-29,349243	44,396973	32,858032	53,612671
-16,329224	-32,401855	-77,949463	-10,543213	105,39465
184,30798	224,30115	40,396973	104,44397	6,03125
-102,07922	-39,388306	-47,333374	-77,14917	34,084839
28,526367	-106,66614	-59,342407	-142,06458	151,04651
-30,396606	5,0657959	76,630005	-40,110229	-13,021362
183,90686	174,1864	51,970215	113,63489	28,245117
-114,12756	105,74707	18,4729	-120,08044	60,271851
-100,32568	-111,24609	-174,92725	-3,4627686	102,41895
-51,09082	-59,496094	19,232056	-75,719971	-97,513428
167,32751	78,681152	50,412964	54,966919	7,043457
-11,499756	-71,629028	-106,4884	-86,775146	-117,13892
81,220703	149,94128	31,696777	-3,0855713	4,6418457
45,568359	-26,213623	-120,42236	-134,72498	-218,22424
121,91272	-94,042603	-45,792603	11,515381	-75,15625
123,89954	-6,8243408	83,000977	88,971802	-89,675537
87,543701	-71,897095	152,31995	59,322266	-54,303589
125,20703	73,64978	-10,034912	0,18591309	76,109375
45,157104	-67,313599	-144,29663	-136,15063	-161,56812
-99,904297	-92,134888	-34,740723	8,8431396	-190,69189
208,5636	215,01111	61,848267	182,54565	112,03308
196,50452	95,298218	30,593262	33,18457	84,587036
85,908447	48,487549	71,53894	-124,93164	-174,87744
28,553711	-5,3400879	48,272461	-110,05286	-129,07068
236,40039	58,612549	-137,22156	-145,8562	-179,94531
163,19543	107,1427	117,16846	50,011841	104,52478
30,924683	-29,305176	90,587524	144,48706	1,8759766
101,67041	-36,798218	-6,3032227	12,751709	139,8418
14,346191	-139,27209	35,81897	146,27795	177,28638
146,59045	44,337891	-16,096802	-95,843018	34,257446
73,652222	106,22266	124,58618	99,088501	46,705444
10,869385	-73,916016	1,1286621	-168,02148	11,036255
