d15_245fs_147_150	d15_415fs_181_184	d15_815fs_261_264
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-94,036621	-205,97961	153,74634
11,564209	66,813477	10,340942
132,26807	-162,35974	-77,028931
2,3103027	50,52356	-37,748047
27,003418	-19,007446	-74,146118
3,684082	-23,383301	20,296875
-32,088318	19,894592	96,706421
-95,685242	-33,291138	-88,524658
-112,02875	-53,094055	65,353699
-31,002075	40,636536	16,569946
71,24823	-43,046936	-97,702881
192,96082	-83,318787	-66,545227
-26,13092	41,279724	-79,739258
92,648865	-107,00018	62,27417
-149,9917	-102,51685	115,44617
-129,33545	-10,094482	-54,96582
74,580078	28,784241	70,817688
-114,54498	220,80884	-9,0174561
62,390564	31,532776	42,693481
-38,803284	61,287659	-87,139954
118,01697	92,441406	63,873779
68,447571	-122,19379	36,09021
-106,31342	57,425415	38,220215
-7,2171631	1,0539551	48,910583
31,862915	-55,592957	-193,48413
-42,627441	55,273315	27,692139
8,3588867	70,355225	21,328735
-153,27429	-63,191406	46,70874
-57,002319	71,995789	109,57605
-16,514038	-125,06866	-17,140381
-27,326904	123,35223	66,526917
-10,854919	-37,391235	43,298706
-109,49182	41,603394	99,61731
79,35498	-17,215881	20,824158
-6,0946045	20,54718	-47,015747
-50,99939	10,7052	21,883484
-40,659241	1,7020264	-11,232361
0,018371582	60,620483	-12,756592
35,42865	-6,0592041	-19,381042
41,935486	63,729614	60,776306
34,278748	65,716919	15,942627
46,374939	-41,214722	-26,600891
-72,057617	59,569519	-53,017578
27,352905	110,19305	126,27081
-151,31909	45,103882	24,992859
-131,78467	-40,139221	-10,177551
-47,05896	-31,821228	75,773926
-68,969055	-45,664673	-78,657959
-116,23413	87,213013	33,402344
42,705566	55,1698	12,750977
30,167725	-2,1351318	29,463745
116,87305	-2,2067871	-44,061035
58,167847	-163,29846	-77,946045
-59,302979	-123,9834	-6,7805176
-90,96582	-47,822144	-20,759277
83,190308	61,143555	61,572754
-175,30591	-72,819946	122,37463
-11,060913	83,185059	-48,792847
-113,79309	143,45435	-15,832397
-30,302734	46,041138	95,417847
-198,45569	-92,415283	-162,00195
151,42078	-81,981812	-5,6618652
-119,69604	-20,138184	-49,489136
-94,870483	-30,134277	32,656128
-87,897949	2,3692627	-73,27063
90,159424	-93,911743	-170,65771
