s_300	s_0	energy_e10e20
0,001005807189941406	0,001005807189941406	314175204,0000001
0,0009959784698486329	0,0009959784698486329	311105088,0000001
0,0009861497497558594	0,0009861497497558594	308034972,0000001
0,0009763210296630861	0,0009763210296630861	304964856,0000001
0,0009664922332763673	0,0009664922332763673	301894740,0000001
0,0009566635131835938	0,0009566635131835938	298824624,0000001
0,0009468347930908204	0,0009468347930908204	295754508,0000001
0,0009370060729980469	0,0009370060729980469	292684392,0000001
0,0009271773529052735	0,0009271773529052735	289614276,0000001
0,0009173485565185548	0,0009173485565185548	286544160,0000001
0,0009075198364257814	0,0009075198364257814	283474044,0000001
0,0008976911163330078	0,0008976911163330078	280403928,0000001
0,0008878623962402344	0,0008878623962402344	277333812,0000001
0,000878033676147461	0,000878033676147461	274263696,0000001
0,0008682048797607423	0,0008682048797607423	271193580,0000001
0,0008583761596679688	0,0008583761596679688	268123464
0,0008485474395751954	0,0008485474395751954	265053348
0,0008387187194824219	0,0008387187194824219	261983232
0,0008288899993896485	0,0008288899993896485	258913116
0,0008190612030029297	0,0008190612030029297	255843000
0,0008092324829101563	0,0008092324829101563	252772884
0,0007994037628173829	0,0007994037628173829	249702768
0,0007895750427246095	0,0007895750427246095	246632652
0,000779746322631836	0,000779746322631836	243562536
0,0007699175262451172	0,0007699175262451172	240492420
0,0007600888061523438	0,0007600888061523438	237422304
0,0007502600860595704	0,0007502600860595704	234352188
0,000740431365966797	0,000740431365966797	231282072
0,0007306026458740235	0,0007306026458740235	228211956
0,0007207738494873048	0,0007207738494873048	225141840
0,0007109451293945313	0,0007109451293945313	222071724
0,0007011164093017579	0,0007011164093017579	219001608
0,0006912876892089844	0,0006912876892089844	215931492
0,000681458969116211	0,000681458969116211	212861376
0,0006716302490234376	0,0006716302490234376	209791260
0,0006618014526367189	0,0006618014526367189	206721144
0,0006519727325439453	0,0006519727325439453	203651028
0,0006421440124511719	0,0006421440124511719	200580912
0,0006323152542114258	0,0006323152542114258	197510796
0,0006224865341186524	0,0006224865341186524	194440680
0,000612657814025879	0,000612657814025879	191370564
0,0006028290557861329	0,0006028290557861329	188300448
0,0005930003356933594	0,0005930003356933594	185230332
0,000583171615600586	0,000583171615600586	182160216
0,0005733428573608399	0,0005733428573608399	179090100
0,0005635141372680665	0,0005635141372680665	176019984
0,0005536853790283204	0,0005536853790283204	172949868
0,0005438566589355469	0,0005438566589355469	169879752
0,0005340279388427734	0,0005340279388427734	166809636
0,0005241991806030274	0,0005241991806030274	163739520
0,000514370460510254	0,000514370460510254	160669404
0,0005045417022705079	0,0005045417022705079	157599288
0,0004947129821777345	0,0004947129821777345	154529172
0,000484884262084961	0,000484884262084961	151459056
0,0004750555038452149	0,0004750555038452149	148388940
0,0004652267837524414	0,0004652267837524414	145318824
0,0004553980255126953	0,0004553980255126953	142248708
0,0004455693054199219	0,0004455693054199219	139178592
0,0004357405853271485	0,0004357405853271485	136108476
0,0004259118270874024	0,0004259118270874024	133038360
0,000416083106994629	0,000416083106994629	129968244
0,0004062543869018555	0,0004062543869018555	126898128
0,0003964256286621094	0,0003964256286621094	123828012
0,000386596908569336	0,000386596908569336	120757896
0,0003767681503295898	0,0003767681503295898	117687780
0,0003669394302368164	0,0003669394302368164	114617664
0,000357110710144043	0,000357110710144043	111547548
0,0003472819519042969	0,0003472819519042969	108477432
0,0003374532318115235	0,0003374532318115235	105407316
0,0003276244735717774	0,0003276244735717774	102337200
0,0003177957534790039	0,0003177957534790039	99267084,00000001
0,0003079670143127442	0,0003079670143127442	96196968,00000001
0,0002981382942199707	0,0002981382942199707	93126852,00000001
0,0002883095550537109	0,0002883095550537109	90056736,00000001
0,0002784808158874512	0,0002784808158874512	86986620,00000001
0,0002686520767211914	0,0002686520767211914	83916504,00000001
0,0002588233375549316	0,0002588233375549316	80846388,00000001
0,0002489946174621582	0,0002489946174621582	77776272,00000001
0,0002391658782958984	0,0002391658782958984	74706156,00000001
0,0002293371391296387	0,0002293371391296387	71636040,00000001
0,0002195083999633789	0,0002195083999633789	68565924,00000001
0,0002096796798706055	0,0002096796798706055	65495808,00000001
0,0001998509407043457	0,0001998509407043457	62425692,00000001
0,0001900222015380859	0,0001900222015380859	59355576,00000001
0,0001801934623718262	0,0001801934623718262	56285460,00000001
0,0001703647232055664	0,0001703647232055664	53215344,00000001
0,000160536003112793	0,000160536003112793	50145228,00000001
0,0001507072639465332	0,0001507072639465332	47075112,00000001
0,0001408785247802735	0,0001408785247802735	44004996,00000001
0,0001310497951507568	0,0001310497951507568	40934880,00000001
0,0001212210559844971	0,0001212210559844971	37864764,00000001
0,0001113923263549805	0,0001113923263549805	34794648,00000001
0,0001015635871887207	0,0001015635871887207	31724532
9,173484802246094e-05	9,173484802246094e-05	28654416
8,190611839294435e-05	8,190611839294435e-05	25584300
7,207738399505615e-05	7,207738399505615e-05	22514184
6,224864959716797e-05	6,224864959716797e-05	19444068
5,241991519927979e-05	5,241991519927979e-05	16373952
4,259117603302002e-05	4,259117603302002e-05	13303836
3,276244401931763e-05	3,276244401931763e-05	10233720
2,293370723724366e-05	2,293370723724366e-05	7163604,000000001
1,310497283935547e-05	1,310497283935547e-05	4093488
3,276238441467285e-06	3,276238441467285e-06	1023372
1,456102281808853e-06	1,456103771924973e-06	454832,0000000001
8,190546929836274e-07	8,190546929836274e-07	255843
5,241926386952401e-07	5,241926386952401e-07	163739,52
3,640206903219224e-07	3,640206903219224e-07	113708
2,674420364201069e-07	2,674420364201069e-07	83540,57142857143
2,047587744891644e-07	2,047587744891644e-07	63960,75000000001
1,617833413183689e-07	1,617833413183689e-07	50536,8888888889
1,310432609170675e-07	1,310432609170675e-07	40934,88
1,082990877330303e-07	1,082990877330303e-07	33830,47933884298
9,099100716412068e-08	9,099100716412068e-08	28427
7,752915378659964e-08	7,752915378659964e-08	24221,8224852071
6,685562431812286e-08	6,685562431812286e-08	20885,14285714286
5,823784973472357e-08	5,823784973472357e-08	18193,28
5,11848321184516e-08	5,11848321184516e-08	15990,1875
4,533946979790927e-08	4,533946979790927e-08	14164,31833910035
4,044100176542998e-08	4,044100176542998e-08	12634,22222222222
3,629543352872134e-08	3,629543352872134e-08	11339,30193905817
3,275601658970118e-08	3,275601658970118e-08	10233,72
2,971009118482471e-08	2,971009118482471e-08	9282,285714285716
2,707000356167555e-08	2,707000356167555e-08	8457,619834710746
2,476673340424896e-08	2,476673340424896e-08	7738,162570888469
2,274532802402973e-08	2,274532802402973e-08	7106,750000000001
2,096160780638456e-08	2,096160780638456e-08	6549,580800000001
1,937971799634397e-08	1,937971799634397e-08	6055,455621301776
1,786474022082985e-08	1,786474022082985e-08	5615,20987654321
1,670922036282718e-08	1,670922036282718e-08	5221,285714285715
1,544549828395248e-08	1,544549828395248e-08	4867,405469678954
1,455482095479965e-08	1,455482095479965e-08	4548,320000000001
1,363057759590447e-08	1,363057759590447e-08	4259,612903225807
1,279162592254579e-08	1,279162592254579e-08	3997,546875
1,202778308652342e-08	1,202778308652342e-08	3758,942148760331
1,133034122176468e-08	1,133034122176468e-08	3541,079584775087
1,069181598722935e-08	1,069181598722935e-08	3341,622857142857
1,010575098916888e-08	1,010575098916888e-08	3158,555555555556
9,294842602685095e-09	9,294842602685095e-09	2990,130021913806
9,069335646927357e-09	9,069335646927357e-09	2834,825484764543
8,609864744357766e-09	8,609864744357766e-09	2691,313609467456
8,184409234672786e-09	8,184409234672786e-09	2558,43
7,789693190716208e-09	7,789693190716208e-09	2435,150505651398
7,422827766276896e-09	7,422827766276896e-09	2320,571428571429
7,081256480887533e-09	7,081256480887533e-09	2213,892915089238
6,762708653695882e-09	6,762708653695882e-09	2114,404958677686
5,976366228424013e-09	5,976366228424013e-09	2021,475555555556
6,186817190609873e-09	6,186817190609873e-09	1934,540642722117
5,926053854636849e-09	5,926053854636849e-09	1853,095518334088
5,681424518115819e-09	5,681424518115819e-09	1776,6875
5,451626493595541e-09	5,451626493595541e-09	1704,909620991254
5,235487478785217e-09	5,235487478785217e-09	1637,3952
5,031949258409441e-09	5,031949258409441e-09	1573,813148788927
4,840056353714318e-09	4,840056353714318e-09	1513,863905325444
4,658945254050195e-09	4,658945254050195e-09	1457,275898896405
4,487833357416094e-09	4,487833357416094e-09	1403,802469135803
4,326010239310563e-09	4,326010239310563e-09	1353,219173553719
4,172829212620855e-09	4,172829212620855e-09	1305,321428571429
4,027698596473783e-09	4,027698596473783e-09	1259,92243767313
3,890074731316418e-09	3,890074731316418e-09	1216,851367419739
2,657793811522424e-09	2,657793811522424e-09	1175,95173800632
3,635366738308221e-09	3,635366738308221e-09	1137,08
3,517373988870532e-09	3,517373988870532e-09	1100,104273044881
3,405062598176301e-09	3,405062598176301e-09	1064,903225806452
3,298046358395368e-09	3,298046358395368e-09	1031,36507936508
3,195965255144984e-09	3,195965255144984e-09	999,3867187500001
3,09848808683455e-09	3,09848808683455e-09	968,8728994082842
3,005314501933754e-09	3,005314501933754e-09	939,7355371900827
2,91617529001087e-09	2,91617529001087e-09	911,8930719536646
2,830832381732762e-09	2,830832381732762e-09	885,2698961937717
2,74907797574997e-09	2,74907797574997e-09	859,79584120983
2,670728426892311e-09	2,670728426892311e-09	835,4057142857143
2,59562220890075e-09	2,59562220890075e-09	812,0388811743702
2,523612056393176e-09	2,523612056393176e-09	789,638888888889
2,454561472404748e-09	2,454561472404748e-09	768,1531244135862
2,38833948969841e-09	2,38833948969841e-09	747,5325054784515
2,324817032786086e-09	2,324817032786086e-09	727,7312000000001
5,492478157975711e-10	5,492478157975711e-10	708,7063711911358
2,205353521276266e-09	2,205353521276266e-09	690,417945690673
2,149150823242963e-09	2,149150823242963e-09	672,828402366864
2,095125237246975e-09	2,095125237246975e-09	655,9025797147893
2,043146087089554e-09	2,043146087089554e-09	639,6075000000001
1,993086625589058e-09	1,993086625589058e-09	623,9122085048011
1,944826653925702e-09	1,944826653925702e-09	608,7876264128496
1,898255140986294e-09	1,898255140986294e-09	594,206416025548
1,853272551670671e-09	1,853272551670671e-09	580,1428571428572
1,809792447602376e-09	1,809792447602376e-09	566,5727335640139
-1,644084986764938e-09	-1,644084986764938e-09	553,4732287723094
1,727061026031152e-09	1,727061026031152e-09	540,8228299643282
1,687699550529942e-09	1,687699550529942e-09	528,6012396694216
1,649615878704935e-09	1,649615878704935e-09	516,7892942810251
1,612772612133995e-09	1,612772612133995e-09	505,3688888888889
1,577134826220572e-09	1,577134826220572e-09	494,3229078613695
1,542666432214901e-09	1,542666432214901e-09	483,6351606805293
1,509330322733149e-09	1,509330322733149e-09	473,2903225806452
1,477088080719113e-09	1,477088080719113e-09	463,273879583522
-3,153089492116124e-09	-3,153089492116124e-09	453,5720775623269
1,4157296391204e-09	1,4157296391204e-09	444,1718750000001
1,386542717227712e-09	1,386542717227712e-09	435,0608991391222
1,358313311357051e-09	1,358313311357051e-09	426,2274052478135
-2,458913368172944e-09	-2,458913368172944e-09	417,6602387511479
-4,05936996685341e-09	-4,05936996685341e-09	409,3488
1,279239659197629e-09	1,279239659197629e-09	401,2830114694638
4,20924136415124e-08	1,254753005923703e-09	393,4532871972319
-3,036924172192812e-09	-3,036924172192812e-09	385,8505042888114
1,208606772706844e-09	4,449589643627406e-08	378,465976331361
1,186917288578115e-09	1,186917288578115e-09	371,2914285714286
1,16608694952447e-09	1,16608694952447e-09	364,3189747241012
1,146025097114034e-09	1,146025097114034e-09	357,5410952921653
-5,630534142255783e-09	-5,630534142255783e-09	350,9506172839506
1,107675634557381e-09	1,107675634557381e-09	344,5406952276745
1,089070356101729e-09	1,089070356101729e-09	338,3047933884298
1,070635262294673e-09	1,070635262294673e-09	332,236669101534
-4,435326263774187e-09	-4,435326263774187e-09	326,3303571428572
1,033841981552541e-09	1,033841981552541e-09	320,5801550630433
1,015408342937008e-09	1,015408342937008e-09	314,9806094182826
9,970056999009103e-10	9,970056999009103e-10	309,5265028355388
9,787452290765941e-10	9,787452290765941e-10	304,2128418549347
9,607733954908328e-10	9,607733954908328e-10	299,034845496384
9,432489605387673e-10	9,432489605387673e-10	293,98793450158
-8,112931973300876e-09	-8,112931973300876e-09	289,0677212061295
9,101103205466644e-10	9,101103205466644e-10	284,27
8,946976595325396e-10	8,946976595325396e-10	279,5907383375453
8,801180229056627e-10	8,801180229056627e-10	275,0260682612201
8,663623884785921e-10	8,663623884785921e-10	270,5722784057109
8,533839718438685e-10	8,533839718438685e-10	266,2258064516129
8,41109867906198e-10	8,41109867906198e-10	261,983232
8,294549479614944e-10	8,294549479614944e-10	257,8412698412699
8,18337721284479e-10	8,18337721284479e-10	253,7967635935272
8,076924132183195e-10	8,076924132183195e-10	249,8466796875
-7,587376749143005e-09	-7,587376749143005e-09	245,988101676582
-1,099710701964796e-08	-1,099710701964796e-08	242,218224852071
7,782923057675363e-10	7,782923057675363e-10	238,5343511450382
7,693144289078191e-10	7,693144289078191e-10	234,9338842975207
7,607162842759863e-10	7,607162842759863e-10	231,4143252869015
7,524235115852207e-10	7,524235115852207e-10	227,9732679884162
7,443054346367718e-10	7,443054346367718e-10	224,6083950617284
7,36178262741305e-10	7,36178262741305e-10	221,3174740484429
7,278208795469254e-10	7,278208795469254e-10	218,0983536682828
7,190086034825073e-10	7,190086034825073e-10	214,9489603024575
-9,780338732525707e-09	-9,780338732525707e-09	211,8672946534859
6,993172428337858e-10	6,993172428337858e-10	208,8514285714286
6,882847083033994e-10	6,882847083033994e-10	205,8995020371209
