 - Plot 0	Amplitude - Plot 0
280.2	766
280.5	743
280.8	772
281	764
281.3	761
281.6	755
281.8	748
282.1	764
282.4	760
282.6	752
282.9	754
283.2	750
283.4	779
283.7	759
284	772
284.3	786
284.5	759
284.8	760
285.1	751
285.3	759
285.6	770
285.9	759
286.1	761
286.4	754
286.7	774
286.9	748
287.2	760
287.5	770
287.7	755
288	758
288.3	768
288.5	771
288.8	780
289.1	753
289.3	756
289.6	780
289.9	775
290.1	757
290.4	775
290.7	777
290.9	753
291.2	769
291.5	780
291.7	778
292	785
292.3	796
292.5	793
292.8	787
293.1	816
293.3	821
293.6	824
293.9	824
294.1	820
294.4	846
294.7	838
294.9	859
295.2	902
295.5	959
295.7	1051
296	1180
296.3	1336
296.5	1582
296.8	1848
297.1	2173
297.4	2562
297.6	3101
297.9	3652
298.2	4652
298.4	6259
298.7	8465
299	11012
299.2	13242
299.5	14501
299.8	14896
300	14602
300.3	13253
300.6	11549
300.8	9789
301.1	8396
301.4	7059
301.6	5491
301.9	4380
302.2	3677
302.4	3101
302.7	2592
303	1997
303.2	1498
303.5	1209
303.8	1018
304	895
304.3	828
304.6	800
304.8	810
305.1	807
305.4	816
305.6	815
305.9	843
306.2	864
306.4	842
306.7	831
307	834
307.2	819
307.5	800
307.8	781
308	786
308.3	781
308.6	782
308.8	780
309.1	748
309.4	751
309.6	759
309.9	750
310.2	772
310.4	773
310.7	761
311	762
311.2	755
311.5	755
311.8	743
312	762
312.3	759
312.6	753
312.8	763
313.1	771
313.4	756
313.6	760
313.9	744
314.2	772
314.4	757
314.7	756
315	766
315.2	769
315.5	758
315.8	770
316	776
316.3	773
316.6	761
316.8	760
317.1	758
317.4	772
317.6	761
317.9	758
318.2	761
318.4	760
318.7	752
319	765
319.2	743
319.5	760
319.8	757
