  Depth, z [A] 	Int 	Int(s) 	Int(p)
      -10.000000        1.5767224       0.13993750        1.5767224
      -9.0000000        1.5767224       0.13922147        1.5767224
      -8.0000000        1.5767224       0.13850744        1.5767224
      -7.0000000        1.5767224       0.13779541        1.5767224
      -6.0000000        1.5767224       0.13708539        1.5767224
      -5.0000000        1.5767224       0.13637737        1.5767224
      -4.0000000        1.5767224       0.13567136        1.5767224
      -3.0000000        1.5767224       0.13496735        1.5767224
      -2.0000000        1.5767224       0.13426535        1.5767224
      -1.0000000        1.5767224       0.13356536        1.5767224
      0.00000000       0.18813163       0.13286737       0.18813163
       1.0000000       0.18706851       0.13217362       0.18706851
       2.0000000       0.18601519       0.13148628       0.18601519
       3.0000000       0.18497160       0.13080531       0.18497160
       4.0000000       0.18393766       0.13013066       0.18393766
       5.0000000       0.18291330       0.12946229       0.18291330
       6.0000000       0.18189846       0.12880016       0.18189846
       7.0000000       0.18089307       0.12814421       0.18089307
       8.0000000       0.17989706       0.12749442       0.17989706
       9.0000000       0.17891037       0.12685072       0.17891037
       10.000000       0.17793293       0.12621309       0.17793293
       11.000000       0.17696467       0.12558147       0.17696467
       12.000000       0.17600552       0.12495583       0.17600552
       13.000000       0.17505544       0.12433613       0.17505544
       14.000000       0.17411434       0.12372231       0.17411434
       15.000000       0.17318218       0.12311435       0.17318218
       16.000000       0.17225888       0.12251220       0.17225888
       17.000000       0.17134438       0.12191582       0.17134438
       18.000000       0.17043862       0.12132517       0.17043862
       19.000000       0.16954155       0.12074021       0.16954155
       20.000000       0.16865310       0.12016091       0.16865310
       21.000000       0.16777322       0.11958722       0.16777322
       22.000000       0.16690183       0.11901910       0.16690183
       23.000000       0.16603890       0.11845652       0.16603890
       24.000000       0.16518435       0.11789944       0.16518435
       25.000000       0.16433813       0.11734782       0.16433813
       26.000000       0.16350018       0.11680163       0.16350018
       27.000000       0.16267046       0.11626083       0.16267046
       28.000000       0.16184889       0.11572538       0.16184889
       29.000000       0.16103543       0.11519525       0.16103543
       30.000000       0.16023002       0.11467040       0.16023002
       31.000000       0.15943261       0.11415080       0.15943261
       32.000000       0.15864315       0.11363641       0.15864315
       33.000000       0.15786158       0.11312720       0.15786158
       34.000000       0.15708784       0.11262313       0.15708784
       35.000000       0.15632190       0.11212416       0.15632190
       36.000000       0.15556369       0.11163028       0.15556369
       37.000000       0.15481316       0.11114144       0.15481316
       38.000000       0.15407027       0.11065761       0.15407027
       39.000000       0.15333497       0.11017876       0.15333497
       40.000000       0.15260720       0.10970485       0.15260720
       41.000000       0.15188691       0.10923586       0.15188691
       42.000000       0.15117406       0.10877175       0.15117406
       43.000000       0.15046861       0.10831249       0.15046861
       44.000000       0.14977049       0.10785805       0.14977049
       45.000000       0.14907968       0.10740841       0.14907968
