Depth, z [nm] 	Int 	Int(s) 	Int(p)
      -2.0000000        1.1202842       0.35285974        1.1202842
      -1.9000000        1.1202842       0.35064623        1.1202842
      -1.8000000        1.1202842       0.34845098        1.1202842
      -1.7000000        1.1202842       0.34627402        1.1202842
      -1.6000000        1.1202842       0.34411540        1.1202842
      -1.5000000        1.1202842       0.34197516        1.1202842
      -1.4000000        1.1202842       0.33985335        1.1202842
      -1.3000000        1.1202842       0.33775000        1.1202842
      -1.2000000        1.1202842       0.33566515        1.1202842
      -1.1000000        1.1202842       0.33359885        1.1202842
      -1.0000000        1.1202842       0.33155114        1.1202842
     -0.90000000        1.1202842       0.32952206        1.1202842
     -0.80000000        1.1202842       0.32751165        1.1202842
     -0.70000000        1.1202842       0.32551994        1.1202842
     -0.60000000        1.1202842       0.32354698        1.1202842
     -0.50000000        1.1202842       0.32159281        1.1202842
     -0.40000000        1.1202842       0.31965746        1.1202842
     -0.30000000        1.1202842       0.31774098        1.1202842
     -0.20000000        1.1202842       0.31584340        1.1202842
     -0.10000000        1.1202842       0.31396476        1.1202842
      0.00000000       0.40054985       0.31210509       0.40054985
      0.10000000       0.39721523       0.31026574       0.39721523
      0.20000000       0.39391335       0.30844791       0.39391335
      0.30000000       0.39064394       0.30665137       0.39064394
      0.40000000       0.38740676       0.30487591       0.38740676
      0.50000000       0.38420154       0.30312131       0.38420154
      0.60000000       0.38102805       0.30138738       0.38102805
      0.70000000       0.37788602       0.29967390       0.37788602
      0.80000000       0.37477522       0.29798067       0.37477522
      0.90000000       0.37169539       0.29630747       0.37169539
       1.0000000       0.36864629       0.29465411       0.36864629
       1.1000000       0.36562767       0.29302038       0.36562767
       1.2000000       0.36263930       0.29140608       0.36263930
       1.3000000       0.35968094       0.28981101       0.35968094
       1.4000000       0.35675234       0.28823497       0.35675234
       1.5000000       0.35385327       0.28667777       0.35385327
       1.6000000       0.35098350       0.28513920       0.35098350
       1.7000000       0.34814279       0.28361907       0.34814279
       1.8000000       0.34533091       0.28211719       0.34533091
       1.9000000       0.34254763       0.28063337       0.34254763
       2.0000000       0.33979272       0.27916741       0.33979272
       2.1000000       0.33706595       0.27771912       0.33706595
       2.2000000       0.33436710       0.27628832       0.33436710
       2.3000000       0.33169594       0.27487482       0.33169594
       2.4000000       0.32905226       0.27347843       0.32905226
       2.5000000       0.32643582       0.27209897       0.32643582
       2.6000000       0.32384642       0.27073625       0.32384642
       2.7000000       0.32128383       0.26939010       0.32128383
       2.8000000       0.31874783       0.26806032       0.31874783
       2.9000000       0.31623821       0.26674674       0.31623821
       3.0000000       0.31375476       0.26544919       0.31375476
       3.1000000       0.31129726       0.26416747       0.31129726
